Marca_de_Tiempo,Voltaje_Pico_(V),Voltaje_RMS_(V),Posicion_Z_Pico_Estimada_(m),C_Estimado_(Kg/s),Frec_Dominante_FFT_(Hz),Amplitud_Max_FFT
10:02:04.506,0.0,0.0,0.0027631,0.43,0.0,0.0
10:02:05.155,0.0,0.0,0.0027631,0.43,0.0,0.0
10:02:05.808,0.0,0.0,0.0027631,0.43,0.0,0.0
10:02:06.476,0.0,0.0,0.0027631,0.43,0.0,0.0
10:02:07.140,0.0,0.0,0.0027631,0.43,0.0,0.0
10:02:07.797,0.0,0.0,0.0027631,0.43,0.0,0.0
10:02:08.452,0.0,0.0,0.0027631,0.43,0.0,0.0
10:02:09.125,0.0,0.0,0.0027631,0.43,0.0,0.0
10:02:09.792,0.0,0.0,0.0027631,0.43,0.0,0.0
10:02:10.452,0.0,0.0,0.0027631,0.43,0.0,0.0
10:02:11.105,0.0,0.0,0.0027631,0.43,0.0,0.0
10:02:11.779,0.0,0.0,0.0027631,0.43,0.0,0.0
